Date,Open,High,Low,Close,Adj Close,Volume
2019-05-23,10237.480469,10265.459961,10228.200195,10263.410156,10263.410156,22013800
2019-05-24,10263.410156,10263.410156,10199.370117,10222.360352,10222.360352,35370000
2019-05-27,10222.360352,10240.400391,10147.709961,10147.709961,10147.709961,19394000
2019-05-28,10147.709961,10172.940430,10081.799805,10123.320313,10123.320313,47580100
2019-05-29,10123.320313,10123.320313,10048.809570,10096.469727,10096.469727,34258800
2019-05-30,10097.610352,10098.339844,10061.240234,10071.980469,10071.980469,18050400
2019-05-31,10071.980469,10117.990234,10053.700195,10117.990234,10117.990234,33556900
2019-06-04,10122.870117,10122.870117,9927.049805,9951.929688,9951.929688,24037300
2019-06-05,9954.330078,10033.889648,9951.799805,9956.059570,9956.059570,23145800
2019-06-06,9964.559570,9997.559570,9953.440430,9987.000000,9987.000000,24136900
2019-06-07,9987.000000,10047.820313,9966.129883,10047.820313,10047.820313,22882700
2019-06-10,10047.820313,10072.900391,10020.139648,10027.610352,10027.610352,11785700
2019-06-11,10029.490234,10139.150391,10029.490234,10139.150391,10139.150391,25255200
2019-06-12,10139.150391,10205.139648,10106.410156,10205.139648,10205.139648,23557700
2019-06-13,10213.629883,10223.809570,10186.320313,10223.809570,10223.809570,21706100
2019-06-14,10223.809570,10235.370117,10202.219727,10235.370117,10235.370117,35041600
2019-06-17,10235.370117,10235.370117,10170.259766,10170.259766,10170.259766,18835300
2019-06-18,10170.259766,10213.179688,10167.269531,10191.330078,10191.330078,26448600
2019-06-19,10191.330078,10309.889648,10191.330078,10304.830078,10304.830078,27122000
2019-06-20,10311.690430,10354.070313,10261.959961,10290.759766,10290.759766,27125700
2019-06-21,10290.759766,10327.290039,10271.830078,10327.290039,10327.290039,62144500
2019-06-24,10327.290039,10388.309570,10268.780273,10388.309570,10388.309570,18369600
2019-06-25,10389.440430,10436.540039,10365.519531,10418.290039,10418.290039,27562700
2019-06-26,10418.290039,10448.080078,10386.280273,10408.049805,10408.049805,27769000
2019-06-27,10408.049805,10432.509766,10373.719727,10431.219727,10431.219727,23215200
2019-06-28,10431.219727,10501.099609,10431.219727,10501.099609,10501.099609,35655000
2019-07-01,10501.099609,10519.889648,10464.530273,10464.530273,10464.530273,16938300
2019-07-02,10464.530273,10534.769531,10464.530273,10531.940430,10531.940430,23860000
2019-07-03,10531.940430,10561.379883,10517.240234,10544.429688,10544.429688,19720800
2019-07-04,10544.429688,10580.429688,10544.429688,10558.280273,10558.280273,34442900
2019-07-05,10558.280273,10630.959961,10558.280273,10615.469727,10615.469727,30019600
2019-07-08,10615.469727,10632.040039,10594.879883,10605.980469,10605.980469,16582900
2019-07-09,10605.980469,10605.980469,10528.900391,10538.110352,10538.110352,28636100
2019-07-10,10538.110352,10658.780273,10533.459961,10650.139648,10650.139648,20121200
2019-07-11,10652.969727,10702.089844,10651.269531,10687.320313,10687.320313,26285900
2019-07-12,10687.320313,10701.429688,10646.129883,10701.429688,10701.429688,15207600
2019-07-15,10701.429688,10718.160156,10650.799805,10666.559570,10666.559570,17425000
2019-07-16,10666.559570,10700.509766,10631.019531,10651.200195,10651.200195,19401800
2019-07-17,10651.200195,10668.870117,10629.759766,10654.799805,10654.799805,23437800
2019-07-18,10654.799805,10741.089844,10652.629883,10741.089844,10741.089844,23305300
2019-07-19,10741.089844,10783.179688,10709.839844,10753.150391,10753.150391,21432200
2019-07-22,10753.150391,10824.690430,10734.919922,10824.690430,10824.690430,22360900
2019-07-23,10824.690430,10874.370117,10807.919922,10867.250000,10867.250000,17448400
2019-07-24,10867.250000,10892.009766,10805.160156,10812.540039,10812.540039,20541700
2019-07-25,10812.540039,10898.280273,10812.040039,10898.280273,10898.280273,23876300
2019-07-26,10898.280273,10898.280273,10807.610352,10807.610352,10807.610352,20004600
2019-07-29,10807.610352,10869.230469,10802.139648,10851.360352,10851.360352,17476100
2019-07-30,10851.360352,10903.559570,10843.650391,10878.950195,10878.950195,23286700
2019-07-31,10878.950195,10922.980469,10857.750000,10857.750000,10857.750000,31613500
2019-08-01,10857.750000,10862.889648,10811.969727,10860.820313,10860.820313,21304800
2019-08-02,10860.820313,10863.870117,10803.830078,10863.870117,10863.870117,21048600
2019-08-05,10863.870117,10863.870117,10755.190430,10766.030273,10766.030273,24130800
2019-08-06,10766.030273,10766.030273,10503.269531,10587.169922,10587.169922,26615700
2019-08-07,10587.169922,10786.259766,10587.169922,10786.259766,10786.259766,32560400
2019-08-08,10786.259766,10874.299805,10785.950195,10874.299805,10874.299805,31312900
2019-08-09,10875.200195,10927.099609,10868.799805,10873.209961,10873.209961,20470700
2019-08-12,10873.209961,10900.330078,10842.980469,10872.740234,10872.740234,17581600
2019-08-13,10872.740234,10872.740234,10794.089844,10854.769531,10854.769531,21241500
2019-08-14,10854.769531,10922.639648,10825.450195,10849.759766,10849.759766,28571100
2019-08-15,10849.759766,10849.759766,10668.929688,10704.110352,10704.110352,27107400
2019-08-16,10704.110352,10707.980469,10630.809570,10655.360352,10655.360352,33315300
2019-08-19,10655.360352,10706.349609,10655.360352,10702.480469,10702.480469,29639900
2019-08-20,10702.480469,10803.839844,10702.480469,10803.839844,10803.839844,22514700
2019-08-21,10803.839844,10803.839844,10604.410156,10709.320313,10709.320313,47915600
2019-08-22,10712.599609,10753.509766,10687.070313,10725.219727,10725.219727,47550700
2019-08-23,10726.099609,10745.860352,10622.349609,10622.349609,10622.349609,33595700
2019-08-26,10623.780273,10623.780273,10424.080078,10483.469727,10483.469727,20271500
2019-08-27,10483.469727,10583.169922,10483.469727,10513.160156,10513.160156,37826900
2019-08-28,10541.969727,10626.169922,10511.559570,10626.169922,10626.169922,30078300
2019-08-29,10633.639648,10662.290039,10580.070313,10580.070313,10580.070313,29655900
2019-08-30,10580.070313,10757.200195,10580.070313,10757.200195,10757.200195,51750000
2019-09-02,10757.200195,10800.429688,10685.500000,10800.000000,10800.000000,20119300
2019-09-03,10800.000000,10953.919922,10793.639648,10953.919922,10953.919922,22432100
2019-09-04,10955.610352,11016.660156,10878.040039,11008.129883,11008.129883,30492800
2019-09-05,11014.370117,11117.490234,11004.129883,11106.669922,11106.669922,34730800
2019-09-06,11108.709961,11220.969727,11108.709961,11218.990234,11218.990234,40649200
2019-09-09,11219.759766,11222.309570,11170.769531,11202.929688,11202.929688,23752100
2019-09-10,11204.209961,11204.209961,11088.589844,11142.580078,11142.580078,32517700
2019-09-11,11143.660156,11143.660156,10908.469727,10924.879883,10924.879883,35923100
2019-09-12,10936.969727,10973.790039,10897.910156,10905.059570,10905.059570,24666200
2019-09-13,10905.059570,10940.589844,10857.799805,10863.410156,10863.410156,25945900
2019-09-16,10863.410156,10959.309570,10819.919922,10831.750000,10831.750000,15044300
2019-09-17,10831.750000,10892.669922,10831.750000,10868.030273,10868.030273,32810700
